Indicator,Year,Geography,FIPS,Cases,Rate per 100000
HIV diagnoses,2022,"Abbeville County, SC",45001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Acadia Parish, LA",22001,12,25.8
HIV diagnoses,2022,"Accomack County, VA",51001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Ada County, ID",16001,15,3.4
HIV diagnoses,2022,"Adair County, IA",19001,0,0
HIV diagnoses,2022,"Adair County, KY",21001,0,0
HIV diagnoses,2022,"Adair County, MO",29001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Adair County, OK",40001,0,0
HIV diagnoses,2022,"Adams County, CO",08001,52,11.9
HIV diagnoses,2022,"Adams County, IA",19003,0,0
HIV diagnoses,2022,"Adams County, ID",16003,0,0
HIV diagnoses,2022,"Adams County, IL",17001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Adams County, IN",18001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Adams County, MS",28001,26,106.5
HIV diagnoses,2022,"Adams County, ND",38001,0,0
HIV diagnoses,2022,"Adams County, NE",31001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Adams County, OH",39001,0,0
HIV diagnoses,2022,"Adams County, PA",42001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Adams County, WA",53001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Adams County, WI",55001,0,0
HIV diagnoses,2022,"Addison County, VT",50001,0,0
HIV diagnoses,2022,"Adjuntas Municipio, PR",72001,0,0
HIV diagnoses,2022,"Aguada Municipio, PR",72003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Aguadilla Municipio, PR",72005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Aguas Buenas Municipio, PR",72007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Aibonito Municipio, PR",72009,0,0
HIV diagnoses,2022,"Aiken County, SC",45003,14,9.5
HIV diagnoses,2022,"Aitkin County, MN",27001,0,0
HIV diagnoses,2022,"Alachua County, FL",12001,38,15.3
